date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:01:09	112035/112035	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:46%20GMT	https://laravel.com/docs/5.8/collections	B:/doc5..release/laravel.com/docs/5.8/collections.html	(from https://laravel.com/docs/5.8)
06:01:10	50470/50470	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:46%20GMT	https://laravel.com/docs/5.8/events	B:/doc5..release/laravel.com/docs/5.8/events.html	(from https://laravel.com/docs/5.8)
06:01:11	55807/55807	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:48%20GMT	https://laravel.com/docs/5.8/filesystem	B:/doc5..release/laravel.com/docs/5.8/filesystem.html	(from https://laravel.com/docs/5.8)
06:01:12	95210/95210	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:49%20GMT	https://laravel.com/docs/5.8/helpers	B:/doc5..release/laravel.com/docs/5.8/helpers.html	(from https://laravel.com/docs/5.8)
06:01:12	65027/65027	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:49%20GMT	https://laravel.com/docs/5.8/mail	B:/doc5..release/laravel.com/docs/5.8/mail.html	(from https://laravel.com/docs/5.8)
06:01:14	79612/79612	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:51%20GMT	https://laravel.com/docs/5.8/notifications	B:/doc5..release/laravel.com/docs/5.8/notifications.html	(from https://laravel.com/docs/5.8)
06:01:15	48664/48664	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:51%20GMT	https://laravel.com/docs/5.8/packages	B:/doc5..release/laravel.com/docs/5.8/packages.html	(from https://laravel.com/docs/5.8)
06:01:16	73318/73318	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:52%20GMT	https://laravel.com/docs/5.8/queues	B:/doc5..release/laravel.com/docs/5.8/queues.html	(from https://laravel.com/docs/5.8)
06:01:17	52471/52471	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:54%20GMT	https://laravel.com/docs/5.8/scheduling	B:/doc5..release/laravel.com/docs/5.8/scheduling.html	(from https://laravel.com/docs/5.8)
06:01:18	46478/46478	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:55%20GMT	https://laravel.com/docs/5.8/database	B:/doc5..release/laravel.com/docs/5.8/database.html	(from https://laravel.com/docs/5.8)
